timestamp,goodput_bps,snd_cwnd,rtt_ms,retransmits,rttvar,pacing_rate,bytes_sent,delivery_rate
0.286,19402503.24,43,0.956,0,0.314,78135215,693717,25063729
0.568,5181423.23,44,1.391,0,0.211,54958684,922413,31395532
0.857,17252220.43,61,1.799,0,0.254,58897603,1574013,30899822
1.057,163881736.62,98,0.823,1,0.192,206781785,5611045,52704980
1.282,138316816.4,76,0.741,2,0.115,178065194,9510861,6144271
1.485,289717122.75,119,0.767,2,0.087,269544598,16905453,38687022
1.709,181700501.13,119,1.309,2,0.098,157903321,22079157,27163059
1.937,244702427.2,134,1.388,2,0.05,167720799,29071549,23475313
2.137,408551327.04,157,1.273,2,0.094,214173267,39301669,92254847
2.337,372165574.69,174,0.836,2,0.088,361383415,48561629,77658100
2.538,47124515.56,177,1.213,2,0.224,253496970,49641837,38652977
3.117,30436461.16,62,1.127,3,0.352,95548736,51871277,29492772
3.464,0.0,62,1.127,3,0.352,95548736,51871277,29492772
3.966,1339364.08,42,0.928,3,0.136,131033665,51903677,28286511
4.528,5464.06,42,0.916,3,0.125,132659304,51904061,1729988
5.029,259884.32,20,0.997,3,0.179,58094282,51936845,12107023
5.306,477108.04,32,0.951,3,0.119,97357321,51936845,14480000
5.807,0.0,32,0.951,3,0.119,97357321,51936845,14480000
6.308,279597.52,22,0.887,3,0.18,71788169,51969589,13023712
6.752,274980.39,33,0.727,3,0.15,131319821,51969589,24965517
7.252,0.0,33,0.727,3,0.15,131319821,51969589,24965517
7.753,0.0,33,0.727,3,0.15,131319821,51969589,24965517
8.252,254186.39,20,0.711,3,0.05,81405481,51997021,19255319
8.812,242425.03,32,0.777,3,0.132,119230620,52002413,14552763
9.313,0.0,32,0.777,3,0.132,119230620,52002413,14552763
9.813,250171.17,20,0.868,3,0.286,66728110,52032549,12086811
10.289,839733.0,37,0.809,3,0.175,132306837,52067965,23500624
10.79,0.0,37,0.809,3,0.175,132306837,52067965,23500624
11.291,267038.9,22,0.911,3,0.209,69888386,52100645,14626262
11.916,204216.52,34,0.905,3,0.105,108709908,52100645,21061818
12.417,236876.55,20,0.8,3,0.09,72354778,52129949,17279236
12.823,285186.96,30,0.781,3,0.102,111153046,52133469,30211624
13.324,56169.18,33,0.805,3,0.099,118662734,52133469,17090128
13.825,0.0,33,0.805,3,0.099,118662734,52133469,17090128
14.326,284718.35,22,0.811,3,0.121,78499306,52166261,16557172
14.873,218787.71,33,0.926,3,0.12,103177327,52166261,14170818
15.374,299532.36,22,0.837,3,0.077,76085385,52198957,18961904
15.78,274657.78,32,0.776,3,0.068,119307370,52198957,17258641
16.281,0.0,32,0.776,3,0.068,119307370,52198957,17258641
16.782,0.0,32,0.776,3,0.068,119307370,52198957,17258641
17.283,279471.25,22,0.909,3,0.214,70051676,52231805,12949593
17.974,177770.41,33,0.9,3,0.089,106098251,52231805,13131079
18.475,343712.93,23,0.976,3,0.186,68193498,52263453,16926673
18.885,197816.86,30,0.965,3,0.157,90007770,52263453,26359223
19.385,16359.21,31,0.935,3,0.16,95927340,52264477,1983561
19.886,0.0,31,0.935,3,0.16,95927340,52264477,1983561
20.387,250567.92,20,0.837,3,0.139,69199522,52297269,19052631
20.934,518191.03,22,0.751,3,0.155,84807986,52330013,16696016
21.278,334759.78,32,0.692,3,0.122,133749954,52330013,27277864
21.92,409013.99,46,0.974,3,0.292,136649314,52362821,2409317
22.42,287252.75,22,0.884,3,0.181,72062208,52395605,13984196
22.827,291026.91,33,0.774,3,0.129,123413075,52395605,23261044
23.329,283471.98,22,0.615,3,0.065,103449563,52428349,27273972
23.675,346198.43,33,0.606,3,0.033,157605442,52428349,27367697
24.176,0.0,33,0.606,3,0.033,157605442,52428349,27367697
24.677,281093.75,22,0.826,3,0.31,77121500,52461173,12991843
24.946,452881.39,33,0.73,3,0.079,130870249,52461173,12960130
25.447,0.0,33,0.73,3,0.079,130870249,52461173,12960130
25.947,300533.34,22,0.716,3,0.157,88936660,52491565,21294117
26.366,221285.71,30,0.731,3,0.113,118810256,52493917,28207792
26.867,37553.05,32,0.713,3,0.094,129906430,52493917,7732977
27.368,293373.2,22,0.894,3,0.218,71266219,52525309,13396131
