timestamp,goodput_bps,snd_cwnd,rtt_ms,retransmits,rttvar,pacing_rate,bytes_sent,delivery_rate
0.2,89515491.78,1813,26.326,0,0.153,170510526,4045821,38742654
0.411,554045474.48,4217,35.742,0,0.008,175277690,19267041,83371821
0.625,607093544.33,4217,38.695,0,0.066,161901413,35306977,89923079
0.831,504106814.0,4217,34.42,0,0.083,182005111,48365025,89923079
1.034,576549830.32,4217,29.518,0,0.11,212229470,63176115,88194585
1.245,528172370.85,4217,35.968,0,1.429,174172119,76856801,88194585
1.449,558373772.54,4217,39.304,0,0.147,159390787,91225569,88194585
1.649,606735576.89,4217,35.142,0,0.34,178269040,106642375,88194585
1.859,633857480.74,4217,28.032,0,0.999,223485561,122847111,95251018
2.062,670834904.96,4217,34.159,0,0.025,183396400,140099475,95251018
2.265,647891272.03,4217,42.242,0,0.849,148305907,156580919,95251018
2.469,636978138.91,4217,35.543,0,0.054,176254704,172687083,95251018
2.678,619578657.69,4217,34.406,0,0.584,182082476,188841317,95251018
2.881,638717954.95,4217,30.838,0,0.055,203146210,204898295,95251018
3.083,625324737.32,4217,36.801,0,0.146,170230361,220937819,95251018
3.292,630655378.02,4217,41.384,0,0.076,151131876,237370669,95251018
3.504,630216669.4,4217,36.344,0,0.8,172372621,253870117,95251018
3.704,512112965.45,2952,37.911,2,0.159,115678594,267208889,69305095
3.918,616338064.71,2952,45.4,2,0.031,96594860,283116939,88381700
4.12,620129575.42,2952,39.087,2,0.105,112197845,299075813,87550868
4.321,587361125.64,2952,34.498,2,0.08,127121213,313722251,87550868
4.522,609369574.25,2952,30.458,2,0.114,143981916,329107149,87550868
4.722,575207955.35,2952,27.083,2,1.018,161926327,343475571,87550868
4.924,607603897.08,2952,29.5,2,0.327,148656939,358909837,87550868
5.126,535177111.04,2952,38.953,2,0.185,112582364,372476289,87550868
5.332,618749764.59,2952,37.932,2,0.081,115613409,388024571,89688541
5.535,566617590.89,2952,30.903,2,0.143,141908633,402655205,89688541
5.737,592523020.75,2952,42.19,2,0.129,103944068,417630093,89688541
5.941,581732132.35,2952,28.143,2,0.085,155824000,432506765,77581565
6.149,601465704.1,2952,33.923,2,0.103,129274953,448104333,91339533
6.349,625871926.91,2952,26.921,2,0.2,162896945,463691393,91339533
6.55,652550303.95,2952,33.41,2,0.142,131262831,480151447,91339533
6.751,595787211.73,2952,45.065,2,0.096,97314794,495453879,91339533
6.953,630415103.36,2952,36.091,2,0.253,121509940,510903925,95545412
7.154,628421927.17,2952,33.27,2,0.12,131814689,526879027,90452793
7.365,621372938.81,2952,33.237,2,0.806,131943082,542755281,90452793
7.57,629751472.29,2952,32.256,2,0.042,135958401,559253823,91802580
7.78,614361330.99,2952,26.84,2,0.899,163390816,575375745,91802580
7.982,577098206.68,2952,40.599,2,0.068,108019685,590088443,91802580
8.187,597365297.99,2952,26.609,2,0.521,164196796,605341759,91802580
8.39,610597406.4,2952,36.034,2,0.17,121702990,620791245,93671100
8.592,634576927.28,2952,31.615,2,1.572,138715521,636831895,93671100
8.797,580793653.1,2952,39.746,2,0.203,110337925,651823389,93671100
9.0,611241832.19,2952,37.583,2,0.163,116686221,667208031,93671100
9.201,581539263.79,2952,37.747,2,0.086,116178492,681932619,93671100
9.409,563301246.47,2952,36.137,2,0.156,121356948,696485671,93671100
9.613,625013640.9,2952,32.483,2,0.048,135007771,712509325,93671100
9.817,610016490.13,2952,35.294,2,0.233,124253797,727959825,93671100
10.017,648993974.01,2952,29.013,2,1.253,151155423,743900755,93671100
10.225,557403939.14,2952,31.294,2,0.252,140137843,758630285,93671100
10.428,610210413.76,2952,34.13,2,0.148,128417073,774211435,93671100
10.64,602380583.15,2952,37.352,2,1.399,117409809,790104427,93671100
10.843,624976281.29,2952,32.702,2,0.105,134103140,805979965,93671100
11.052,660312807.15,2952,30.325,2,0.099,144612190,823232397,95204390
11.252,687811782.6,2952,27.026,2,0.008,162266338,840285765,96816199
11.454,662327054.28,2952,29.779,2,0.152,147265440,857524463,98380193
11.658,645512366.63,2952,33.325,2,0.259,131597141,873941087,98380193
11.869,655808296.29,2952,32.258,2,0.558,135946811,890848529,98380193
12.069,608571630.21,2952,31.985,2,1.784,137110334,906544991,98380193
12.27,686090964.41,2952,33.977,2,0.024,129070449,923469383,98380193
12.474,622122932.18,2952,30.914,2,0.193,141432670,939067353,98380193
12.675,638356084.97,2952,32.416,2,0.11,135287336,955352973,98380193
12.877,654271232.61,2952,31.889,2,0.246,137523635,971704383,98380193
13.089,648259097.49,2952,31.606,2,0.305,138755021,989005151,98380193
13.29,676330627.94,2952,25.173,2,0.166,174209761,1006225325,98380193
13.496,618709150.0,2952,38.884,2,0.076,112782864,1021970081,98380193
13.701,667581870.84,2952,30.325,2,0.074,144613978,1039140457,98380193
13.905,636673848.03,2952,30.271,2,0.128,144871350,1054902813,98380193
14.11,591081518.34,2952,33.001,2,1.029,132887129,1070220705,98380193
14.311,627799865.33,2952,32.119,2,0.054,136538846,1086441243,98380193
14.519,626032826.37,2952,38.238,2,0.232,114688220,1102743927,98380193
14.719,577010571.39,2952,35.249,2,0.574,124411980,1117194603,98380193
14.924,635564016.36,2952,28.786,2,0.288,152235016,1133168467,98380193
15.127,649351731.25,2952,26.77,2,0.14,163818053,1149798285,98380193
15.337,637122238.8,2952,32.243,2,0.177,136013745,1166345923,98380193
15.545,646147833.47,2952,29.037,2,0.433,151028538,1183008653,98380193
15.746,656421741.73,2952,35.361,2,1.559,124020126,1200047989,98380193
15.952,657504516.01,2952,35.093,2,0.012,124966801,1216595885,98380193
16.153,697739730.93,2952,25.888,2,0.399,169398382,1234372783,98380193
16.354,672807590.71,2952,31.403,2,0.432,139498171,1250953245,98380193
16.555,668118866.98,2952,25.556,2,0.031,171600674,1267206319,98380193
16.755,662039624.74,2952,31.943,2,0.143,137291149,1284282025,98380193
16.963,673430226.94,2952,34.691,2,0.208,126413086,1302202641,98380193
17.165,642415881.79,2952,32.101,2,0.06,136615407,1318143885,99954331
17.378,663918226.96,2952,31.924,2,0.088,137372322,1335740301,99954331
17.591,638166285.04,2952,39.308,2,0.065,111566331,1352665385,99954331
17.8,607773218.98,2952,30.415,2,0.833,144185470,1368557453,99954331
18.002,651513815.45,2952,30.001,2,0.139,146177558,1385089197,99954331
18.202,635783237.81,2952,30.937,2,3.453,141754396,1401407817,99954331
18.412,653403024.14,2952,30.609,2,0.108,142917960,1418069901,99954331
18.612,625508940.78,2952,28.389,2,0.188,154476496,1433979187,99954331
18.814,612167859.82,2952,35.049,2,0.246,125123681,1449395471,99954331
19.018,596911875.75,2952,33.234,2,1.928,131955985,1464846221,99954331
19.221,618688500.01,2952,35.324,2,0.175,124150469,1480066777,99954331
19.421,620193909.05,2952,31.572,2,0.139,138900597,1495565719,99954331
19.624,675037421.55,2952,26.497,2,0.188,165503505,1512769711,99954331
19.831,629955775.84,2952,30.753,2,1.763,142601368,1529039033,99954331
20.036,637026616.76,2952,27.581,2,0.059,158999744,1545471583,99954331
20.24,620450850.76,2952,36.273,2,0.154,120899440,1561266585,99954331
20.453,647785516.3,2952,33.848,2,0.12,129562349,1578386871,99954331
20.654,695843434.62,2952,27.583,2,1.65,158990377,1596032909,99954331
20.855,580042786.14,2952,38.681,2,0.255,113131633,1610582077,99954331
21.059,689724661.23,2952,28.544,2,0.69,153187540,1628129455,99954331
21.263,635374083.12,2952,32.604,2,0.024,134506218,1644398477,99954331
21.464,659701981.39,2952,27.562,2,0.921,159110791,1661004289,83106049
21.669,603895072.71,2952,34.815,2,0.805,125963757,1676363447,94158381
21.871,636458884.1,2952,30.08,2,1.236,145790620,1692436353,94684593
22.073,600499221.2,2952,30.839,2,0.071,142204282,1707624599,94684593
22.276,677696346.35,2952,26.78,2,0.085,163755354,1724909453,101922180
22.478,625524376.84,2952,29.673,2,1.613,147793994,1740572645,101922180
22.685,676172471.38,2952,30.637,2,0.331,142926693,1757907061,101922180
22.891,640256166.52,2952,35.2,2,0.129,124586048,1774700429,101922180
23.092,698099003.39,2952,34.727,2,0.036,126282042,1792017947,101922180
23.293,701775986.48,2952,28.769,2,0.861,152438082,1810153719,101922180
23.496,660448552.76,2952,32.105,2,0.027,136597322,1826687151,101922180
23.697,666379712.57,2952,28.834,2,0.235,152093125,1843443653,101922180
