timestamp,goodput_bps,snd_cwnd,rtt_ms,retransmits,rttvar,pacing_rate,bytes_sent,delivery_rate
0.215,25101198.74,53,0.898,0,0.174,102510421,680597,25688141
0.428,11303756.09,56,0.8,0,0.051,121556027,975965,39969887
0.639,81159894.21,127,1.219,0,0.314,180899846,3112757,31219712
0.848,101951485.3,187,9.641,0,2.966,33700438,6036749,11514386
1.051,381390775.22,472,0.925,0,0.18,886406052,15713733,38153074
1.251,714453042.94,1039,9.975,0,0.198,180980041,34414653,112045913
1.451,852004066.38,782,4.923,36,0.295,275976176,55513461,106147764
1.67,383434318.92,801,2.716,36,1.087,512286211,65797157,36512968
1.874,366890730.7,801,1.719,36,0.151,807728748,75103453,34130819
2.074,521218712.81,820,9.385,36,0.164,151805985,88474309,85851122
2.276,374728231.06,576,2.262,37,0.526,442465782,97867581,23126223
2.476,348283683.67,405,5.057,38,0.667,139135111,106003917,19677825
2.676,463541284.31,412,4.781,38,0.085,149709308,117480765,116277891
2.881,449297026.67,421,2.817,38,0.734,259683919,129435453,20174794
3.081,327450137.12,427,1.594,38,0.067,465212132,137124333,87409756
3.33,471082870.56,437,2.047,38,0.515,370903016,152253037,35893020
3.53,253156892.2,441,5.37,38,0.243,142696759,158020421,121129199
3.731,544294691.13,447,2.231,38,0.19,348045572,172089189,90152665
4.287,146656129.31,246,4.675,38,1.342,84297115,182216501,30261233
4.496,889211898.16,487,1.425,38,0.565,593832421,205274453,62012847
4.763,25673156.96,487,1.274,38,0.154,664216012,205930397,23212213
4.983,100040513.37,238,2.11,40,0.966,195994691,208683125,39109354
5.183,635318233.83,260,3.848,40,0.298,117393964,224771053,108817177
5.435,54265948.98,172,1.415,40,0.132,211194912,226342933,39657982
5.657,441290754.75,277,1.312,40,0.091,366786206,238873925,45681584
5.857,410824926.88,285,1.474,40,0.338,335967435,249018613,71268094
6.057,297629782.55,287,3.561,40,0.373,140012971,256597445,77150656
6.257,471544075.82,298,1.483,40,0.174,348983858,268188749,80163591
