timestamp,goodput_bps,snd_cwnd,rtt_ms,retransmits,rttvar,pacing_rate,bytes_sent,delivery_rate
0.246,23549046.94,44,0.861,0,0.178,88719930,729829,25329446
0.488,6505546.5,46,1.232,0,0.378,64858180,926757,16593486
0.735,49058448.9,92,1.021,0,0.061,156532876,2433197,29633488
0.977,32392302.23,64,1.107,1,0.232,100423433,3415541,23458026
1.181,39931686.54,46,0.875,2,0.089,91308981,4432429,31941176
1.385,28339082.56,46,0.808,2,0.122,98922772,5153533,35161147
1.587,36329617.74,46,0.866,2,0.069,92204297,6070117,35505330
1.791,35971412.04,46,0.763,2,0.059,104757011,6988549,43994715
1.993,31111956.6,46,1.042,2,0.119,76680273,7774629,32523437
2.197,35943146.07,48,0.661,2,0.123,126155870,8692109,41317769
2.398,33926262.2,33,1.041,3,0.194,55075807,9544493,25546110
2.6,31119092.86,35,0.991,3,0.215,61314177,10330885,28175972
2.8,39300165.7,24,0.816,4,0.245,51090229,11313429,31657794
3.0,30143179.79,25,1.041,4,0.065,41724096,12067589,24922547
3.204,34682930.64,25,0.745,4,0.147,58279389,12951029,31262021
3.423,37135134.18,27,0.909,4,0.152,51562247,13967741,22041032
3.637,26955726.58,27,0.756,4,0.079,62036628,14688989,37654846
3.838,39273579.26,35,0.781,4,0.119,77794691,15672053,37214953
4.043,29309271.38,35,1.379,4,0.229,44081543,16469669,20098974
4.248,34605011.15,35,0.99,4,0.267,61414794,17310509,26950930
4.471,36224658.56,37,0.888,4,0.166,72400000,18326317,20985507
4.673,33896828.61,25,0.694,5,0.057,62559855,19177917,45747252
4.878,32063366.61,38,0.909,6,0.081,72569089,19997021,29811764
5.083,36975818.44,38,1.059,6,0.13,62320717,20947725,28000000
5.289,32169494.58,27,1.129,7,0.343,41545450,21799685,25576086
5.502,31629181.7,27,0.897,7,0.038,52295053,22617917,33088139
5.723,36846060.25,24,0.708,8,0.111,58828989,23634861,35914317
5.925,36232993.96,26,0.69,10,0.077,65403691,24551109,47054652
6.126,29959825.28,26,0.885,10,0.215,51026514,25306005,27065420
6.329,37505694.79,26,1.149,10,0.558,39297684,26255405,26981366
6.529,36691615.66,25,0.646,11,0.07,67218568,27173453,49633383
6.73,30023386.94,25,0.703,11,0.106,61759374,27926885,37654846
6.948,36149140.08,25,1.235,11,0.398,35152741,28909277,17887058
7.152,32122578.26,28,0.96,11,0.268,50653617,29729653,24843137
7.357,34546546.2,28,0.914,11,0.255,53208803,30613901,24229482
7.56,34806165.21,33,0.639,11,0.017,89735211,31499117,52447244
7.763,33611122.78,33,0.803,11,0.088,71352683,32351093,38288461
7.967,34598092.5,17,0.715,13,0.187,41263069,33235965,4515592
8.17,33638930.95,27,0.711,13,0.189,65938439,34087717,31385221
8.374,34583856.97,27,0.774,13,0.172,60594381,34971341,31292730
8.583,35286352.79,24,1.087,14,0.273,38338221,35922917,22728580
8.787,33339094.59,30,0.796,15,0.129,65436058,36742005,35695605
9.003,32795216.22,30,0.732,15,0.121,71128091,37626965,37699408
9.207,36027114.31,30,0.707,15,0.047,73705196,38544485,38637865
9.42,34401149.93,30,0.852,15,0.179,61147214,39461965,29394527
9.621,33873174.83,30,0.724,15,0.117,72000000,40313941,36616091
9.844,34207059.87,25,0.792,16,0.161,54787955,41264229,32145307
10.047,34744250.88,25,0.796,16,0.152,54555729,42148853,33710052
10.248,35226683.47,25,0.706,16,0.127,61453580,43033685,33817409
10.452,33379226.03,25,0.895,16,0.193,48502442,43885093,32619000
10.658,34434963.41,25,1.069,17,0.099,40631357,44769741,27320754
10.861,34926079.38,24,0.787,18,0.115,52930223,45655101,30778743
11.061,34041502.86,24,0.867,18,0.08,48071930,46507133,32767241
11.264,34757211.26,24,0.953,18,0.051,43718935,47391365,34327586
11.468,30882812.28,22,0.746,19,0.09,51200000,48176997,38566585
11.669,37688679.34,25,0.846,19,0.21,51294464,49128245,29042979
11.878,35175876.08,25,0.727,19,0.113,59731866,50044829,44456140
12.08,31143116.41,25,0.877,19,0.157,49504273,50831093,23627039
12.291,36034975.49,25,0.705,19,0.201,61562444,51782789,31760717
12.495,34799985.83,28,0.824,19,0.113,59035704,52667517,36318429
12.699,32120863.29,30,0.825,19,0.276,63156746,53485277,24944013
