timestamp,goodput_bps,snd_cwnd,rtt_ms,retransmits,rttvar,pacing_rate,bytes_sent,delivery_rate
0.213,1393662.49,40,105.635,0,0.824,937563,42129,231190
0.428,3825917.83,123,106.234,0,2.44,2866759,190689,693799
0.639,10403666.31,345,105.114,0,0.443,8126537,799785,1704924
0.854,46129025.5,1345,106.749,0,0.361,31196586,3220075,7056739
1.198,122092949.66,1960,108.159,3,0.661,26921192,7949411,19170361
1.419,94019616.26,2955,106.576,3,1.863,41190726,12110947,12172673
1.747,143119591.14,2080,106.07,6,0.473,29132158,15408135,23665745
1.98,74182745.16,1736,110.804,8,0.449,23275321,19670451,4881343
2.481,12156547.87,1462,107.829,13,1.079,20142374,19869769,5556012
3.115,29002758.03,1032,105.639,18,1.114,14512952,20642281,3390195
3.362,56557891.98,1037,106.088,19,1.593,14521528,22613177,11466627
3.564,58030910.74,1037,106.143,19,0.492,14513969,25101557,12108978
3.778,96995546.64,1038,107.163,19,0.682,14389703,27680311,11933574
3.982,99074308.25,1039,105.021,19,0.583,14697338,30216973,12103335
4.199,95555137.4,1040,105.304,19,0.417,14672035,32810583,12166355
4.6,81129183.86,740,107.124,21,1.838,10262350,35698837,9618292
4.814,39648159.86,748,105.591,21,0.67,10523834,37536029,7962084
5.024,70221124.08,767,104.428,21,0.317,10911395,39422741,8831066
5.232,72593413.34,785,107.708,21,3.156,10827322,41351545,9116243
5.442,73639143.14,804,104.941,21,0.992,11381779,43312537,8930750
5.892,48620695.86,578,105.403,24,0.441,8146548,45309431,6324075
6.108,21660327.55,578,104.807,25,0.393,8192884,46293641,1617490
6.314,51200544.61,579,105.033,25,0.174,8189410,47655441,6820349
6.522,54554011.15,580,104.696,25,1.03,8229969,49097711,6819958
6.725,56696682.41,581,105.366,25,0.291,8191736,50532553,6837365
6.931,54135389.83,582,105.043,25,0.381,8231048,51926541,6841864
7.142,54574072.5,583,105.12,25,0.232,8239171,53372525,6830685
7.363,36705334.06,583,107.539,26,4.486,8053820,54388923,3155595
7.567,56677486.63,584,107.699,26,4.42,8055630,55841097,6811763
7.78,53986297.67,585,107.937,26,1.482,8051668,57278415,6830910
7.984,56127587.52,586,104.996,26,0.849,8291319,58712019,6922624
8.411,43287952.1,420,104.859,28,0.422,5950340,60359797,6225735
8.621,22982233.37,425,105.455,28,0.459,5987191,61424477,4836570
8.833,40245964.29,438,105.22,28,0.991,6184117,62505251,4958380
9.044,40898764.0,450,108.702,28,6.996,6150024,63592215,5162957
9.255,43031535.33,463,107.113,28,1.734,6421562,64723747,5238865
9.473,41865033.18,474,106.916,28,4.888,6586231,65875087,5245236
9.685,44141115.98,485,106.083,28,2.588,6791954,67062329,5504849
9.895,46059090.67,495,104.862,28,0.424,7012709,68287949,5735491
10.098,47756813.22,504,106.033,28,2.349,7061367,69519759,5663044
10.315,45492571.07,513,104.541,28,0.304,7290032,70776329,5976788
10.516,50550689.7,521,105.053,28,0.487,7367669,72045279,6025498
10.725,48716297.43,528,108.578,28,7.18,7224270,73338989,6105231
10.936,49568846.97,535,107.345,28,5.335,7404092,74651269,6215614
11.156,49497436.62,542,106.101,28,3.489,7588932,76006879,6425626
11.357,51915347.67,547,105.021,28,0.329,7737693,77331539,6261729
11.571,51087111.65,553,107.313,28,0.48,7655519,78700767,6332805
11.833,47338115.96,556,104.829,29,0.774,7879381,79707261,6418466
12.043,31854820.07,556,105.035,29,0.508,7863928,81093821,6553257
12.253,52363931.29,557,104.996,29,0.391,7881016,82468001,6517087
12.464,52064708.67,558,105.496,29,0.538,7857737,83855799,6498809
12.676,53010475.78,559,105.026,29,0.373,7907093,85248549,6549577
12.904,49360301.23,560,105.44,30,1.237,7890117,86658631,4328785
13.187,41050641.49,560,106.412,31,2.832,7818047,87605701,6366192
13.398,34172287.07,560,104.836,31,0.495,7935566,88997213,6142657
13.602,53706954.37,561,104.871,31,0.38,7947055,90373869,6514556
13.816,51907036.17,562,105.057,31,0.893,7947164,91760429,6602540
14.028,52393911.71,563,105.079,31,0.565,7959647,93159369,6615096
14.245,51034213.96,564,104.964,31,0.356,7982531,94543453,6235541
14.491,40668960.8,400,105.348,33,0.269,5640693,95164929,4801551
14.701,21522540.42,406,104.64,33,0.27,5764041,96175137,4532550
14.909,38828884.0,419,104.975,33,0.421,5929663,97194011,4851115
15.119,40052068.98,432,105.215,33,0.754,6099656,98252501,4992173
15.329,39866511.68,443,108.87,33,2.52,6044973,99329561,5144629
15.537,41829429.12,455,106.007,33,2.851,6376409,100427667,5071919
15.795,48226071.55,464,104.703,34,0.213,6583519,101609957,5238085
15.995,29692454.24,464,104.789,34,0.377,6578101,102742727,5450949
