timestamp,goodput_bps,snd_cwnd,rtt_ms,retransmits,rttvar,pacing_rate,bytes_sent,delivery_rate
0.245,22553788.77,60,0.932,0,0.033,111757738,691221,35926645
0.487,5156958.13,61,1.043,0,0.122,101538594,910829,22708487
0.712,32979098.52,86,0.875,0,0.196,170659357,1774181,29716417
0.951,125250554.68,186,1.368,0,0.395,236166313,5521261,19007159
1.153,204867119.04,284,0.662,0,0.137,744732541,10697861,74383561
1.355,199340107.05,198,0.803,1,0.141,428449315,15744149,39966029
1.562,185336693.8,201,1.191,1,0.22,293124297,20699205,33160305
1.766,192270746.09,207,1.17,1,0.134,307224599,25444301,32075949
1.971,182904135.68,146,1.467,2,0.085,172827795,30228509,24558382
2.171,185335164.94,107,0.776,3,0.062,239398937,34773797,37788849
2.375,192927522.07,109,0.986,3,0.183,191965944,39791117,51772067
2.58,197267102.67,118,0.894,3,0.076,229123397,44808437,35056842
2.785,203154015.46,83,0.827,4,0.106,174337624,49987709,42588235
2.992,212768728.22,90,0.971,6,0.072,161013127,55538173,50856585
3.194,192466395.45,63,0.947,7,0.143,115519113,60367269,57657918
3.394,185880104.91,101,1.005,7,0.301,174581049,64995421,53085803
3.599,208292079.41,101,1.408,7,0.16,124609993,70355573,34542875
3.799,204787800.34,101,0.932,7,0.135,188251649,75381581,93825918
4.001,188484529.92,101,1.84,7,0.192,95379130,80190389,37486294
4.204,207153982.05,104,0.862,7,0.105,209610439,85507445,29693606
4.407,203909251.58,112,0.725,7,0.068,268429241,90586309,39820000
4.608,195583932.25,115,1.614,7,0.683,123749187,95643445,7655589
4.809,218330128.4,60,0.721,9,0.066,144473930,101041621,45015544
5.012,190843549.08,74,1.086,9,0.198,118386373,105889525,33305585
5.224,188027149.42,94,1.406,9,0.074,116159231,110927117,38652977
5.424,198098711.99,99,0.665,9,0.025,258680300,115751781,45657657
5.626,206844338.82,71,0.933,10,0.193,132175813,120995149,38105263
5.833,197335565.24,60,1.125,11,0.194,92641119,126173229,41635782
6.033,223308635.27,64,0.919,12,0.147,120909377,131678469,45048888
6.237,194049416.16,89,0.764,12,0.076,202383641,136626357,57779927
6.44,197430301.77,89,1.198,12,0.231,129087145,141718973,34878832
6.642,204058497.02,107,0.978,12,0.078,190081226,146817381,32909090
6.844,187525241.12,107,0.743,12,0.111,249938766,151503109,45435197
7.044,185638050.2,97,0.777,13,0.057,216780964,156156293,44703355
7.247,213751088.22,63,0.698,16,0.044,156747879,161595893,54483357
