timestamp,goodput_bps,snd_cwnd,rtt_ms,retransmits,rttvar,pacing_rate,bytes_sent,delivery_rate
0.257,24120977.59,88,1.082,0,0.296,141320517,774717,73544018
0.503,6368123.69,88,1.167,0,0.203,131027249,970285,23050651
0.747,42306120.55,125,1.138,0,0.385,190735455,2418197,19808481
0.947,185136582.86,247,2.704,0,0.092,158708403,7240037,119450541
1.15,136293542.03,288,0.609,0,0.109,820543226,10349933,48635114
1.356,157516212.21,288,0.927,0,0.103,539545876,14537957,48266666
1.557,199341872.84,288,0.825,0,0.173,606396607,19491565,57444596
1.757,191024959.46,312,0.799,0,0.113,678406006,24210597,53277266
1.959,171109802.55,218,0.765,1,0.024,494755004,28535781,48578064
2.16,206370025.62,218,1.305,1,0.146,290126797,33745685,60478714
2.36,186127766.07,224,0.83,1,0.017,468519289,38366253,50050059
2.56,182732747.75,224,0.666,1,0.068,583651208,42921381,49312693
2.761,196188637.02,224,0.706,1,0.034,551013838,47836173,83195622
2.961,193417185.35,229,0.707,1,0.055,562318177,52685525,31762580
3.165,181479064.4,229,0.686,1,0.081,579833005,57371253,45968253
3.365,174013695.57,229,1.89,1,0.824,210478920,61729733,26487804
3.567,212198885.47,166,1.367,2,0.358,210945497,67168485,4374622
3.767,180048677.53,82,0.768,4,0.044,185374142,71527005,74210000
3.968,215889247.35,64,1.039,5,0.334,106993529,76967373,121470039
4.168,182519845.2,75,0.649,6,0.035,200685274,81522341,50081203
4.368,202557283.83,60,0.789,7,0.066,132115951,86567573,37923809
4.573,192917075.43,57,0.746,9,0.079,132632340,91517245,37258479
4.774,192188876.82,70,1.229,9,0.174,98938078,96421277,41070545
4.974,188955433.38,85,0.655,9,0.016,225232176,101052085,47760119
5.174,172887218.01,100,0.543,9,0.073,319485175,105378949,53720067
5.375,209627813.47,71,0.706,10,0.063,174589916,110714533,60098573
5.575,186272897.9,87,0.539,10,0.072,280011484,115306141,58840989
5.775,207693331.2,90,0.701,10,0.062,223007486,120614509,85057342
5.976,192732341.92,74,0.639,11,0.132,201145717,125332101,35709001
6.176,194878494.48,76,0.832,11,0.202,158675398,130327701,34975845
6.377,201434520.41,57,0.577,12,0.033,171466262,135262045,53810810
6.578,197872276.51,41,0.64,14,0.162,111163019,140297245,53629629
6.779,186853281.74,74,0.882,14,0.052,145702436,145039445,39305103
6.981,209014572.41,55,0.629,15,0.074,151785586,150236717,13163636
7.182,184891035.19,71,1.053,15,0.148,117132304,154958301,55066551
7.387,190532103.71,62,1.166,17,0.192,92374019,159805389,68154320
7.588,199187462.09,80,0.501,18,0.049,277046337,164835213,81291228
7.788,184990012.82,80,0.936,18,0.175,148374116,169376485,30638454
7.988,192758660.93,62,0.649,20,0.061,165899826,174280621,50807017
8.192,205469568.06,47,0.761,22,0.234,107298012,179458765,61521243
8.393,189202753.35,67,0.795,23,0.178,146278247,184250213,35209726
8.593,200011296.05,59,0.609,24,0.105,168269839,189229893,54051080
8.796,197503902.71,73,0.733,24,0.052,172930879,194211013,64271540
8.997,176290682.9,91,0.573,25,0.115,275773446,198667965,24033195
9.202,208335024.81,75,1.114,28,0.238,116970716,204063277,35049924
9.403,187012376.35,52,0.713,29,0.09,126725385,208662221,41891823
9.603,188994496.64,66,0.552,30,0.033,207615478,213413125,21216117
9.803,192157932.95,77,0.791,30,0.144,168960000,218198397,60201312
10.005,201046390.12,80,0.688,30,0.072,201863133,223276901,49633383
10.206,191445289.69,50,0.87,32,0.197,99819043,228126365,44433212
10.408,204082890.38,66,0.608,32,0.11,188621052,233237805,43568141
10.612,190947639.66,74,0.684,33,0.074,187780065,238168269,44884097
10.812,205643132.4,38,0.81,35,0.081,81504459,243233405,28824355
11.014,188088148.81,50,0.788,36,0.142,110183893,248065525,80803571
11.215,174130018.36,70,0.568,38,0.022,213858461,252374805,38647686
11.418,187347546.22,79,0.833,38,0.28,164716244,257127117,46638036
11.62,182328982.19,94,0.886,38,0.193,184220386,261821557,42256809
11.82,185821154.0,100,1.328,38,0.222,130781823,266513077,13068592
12.021,186090727.5,74,0.735,39,0.099,174942040,271052573,62804819
12.315,100262037.13,76,1.397,40,0.33,94520962,274833341,39253012
12.516,160794001.66,79,0.634,40,0.053,216301595,278777693,38556213
12.72,49182471.92,82,0.799,40,0.137,178159674,280022973,41826685
12.922,120497766.67,60,0.769,41,0.12,135573472,283071021,41711934
13.122,94267375.92,60,0.642,41,0.108,162392523,285429813,40998712
13.322,105153584.26,48,0.757,42,0.025,110141696,288084013,50774025
13.525,95153952.5,24,0.637,44,0.049,65389886,290477077,40961810
13.73,107514308.39,33,0.676,45,0.084,84807986,293228829,35032258
13.93,95526189.12,39,1.924,45,0.507,35210183,295660021,11805951
14.134,104304826.66,45,0.961,45,0.199,81301793,298275109,26395833
14.345,86678443.97,57,1.188,45,0.098,83352156,300591909,40446927
14.547,84649212.18,63,1.441,45,0.3,75954067,302698749,19271627
14.747,91137919.25,71,2.723,45,0.781,45294024,305060437,38168039
14.952,107780313.83,75,0.686,45,0.146,189867055,307745813,30616915
15.152,94412096.06,52,0.73,46,0.081,123668366,310104613,38803949
15.356,108410184.59,55,0.668,46,0.09,142878714,312856477,41147496
15.557,113474782.73,55,0.606,46,0.028,157605442,315707933,52052287
15.759,102506270.03,58,0.578,46,0.106,174248195,318297101,49633383
15.961,114103882.54,31,0.785,48,0.075,68542198,321180445,38150898
16.161,105873981.13,44,0.815,48,0.218,93708472,323835013,30719382
16.364,117544717.33,48,0.548,48,0.081,152059799,326816909,51463651
16.571,106315720.61,51,0.888,49,0.068,99738435,329638933,33635307
16.771,115368072.14,40,0.491,50,0.071,141519979,332453029,58020905
16.975,115250349.04,39,0.701,51,0.049,96636577,335402021,68952380
17.176,115565245.39,33,0.518,53,0.092,110616445,338285877,51882736
17.379,119628092.78,38,0.718,53,0.079,91898121,341333093,37561608
17.581,113942206.35,44,0.584,53,0.048,130803079,344249365,78330757
17.782,119236830.78,48,0.515,53,0.061,161793986,347197493,48186356
17.982,118712306.27,40,0.635,54,0.088,109304501,350178933,76102272
18.183,119281554.17,48,0.65,54,0.187,128167191,353162157,38680603
18.384,122474239.55,48,0.611,54,0.11,136449570,356241709,43254623
18.585,117491956.97,48,0.659,54,0.123,126394847,359191285,54866556
18.787,123462173.02,21,0.545,57,0.074,66907357,362304925,53724381
18.988,115638399.71,41,0.663,58,0.03,107412891,365248325,43483483
19.195,112346283.98,48,1.349,58,0.188,61804223,368186317,32313630
19.402,129826356.01,92,0.83,60,0.101,192427565,371479477,33786666
19.602,108801691.49,65,0.585,61,0.019,193025421,374199253,54547945
19.808,126973091.98,67,0.947,61,0.208,122853660,377476077,29633488
