timestamp,goodput_bps,snd_cwnd,rtt_ms,retransmits,rttvar,pacing_rate,bytes_sent,delivery_rate
0.224,26128761.35,148,1.428,0,0.22,180087394,732565,39532698
0.429,3055598.01,148,1.408,0,0.315,182548216,929493,26097674
0.639,57403739.14,178,1.22,0,0.108,253466748,2315957,26078902
0.876,54496940.49,218,1.387,0,0.306,272957521,4216453,26261413
1.091,60565548.24,248,0.946,0,0.146,455102099,5561621,29661080
1.319,37925406.41,278,1.364,0,0.225,354046944,6638957,20473007
1.529,37057648.86,194,0.945,1,0.115,356666472,7622173,22043767
1.741,34881538.85,194,0.981,1,0.177,343317021,8540237,28418691
2.006,25695105.21,194,0.887,1,0.192,379985233,9624757,29098564
2.229,30590366.6,197,0.99,1,0.282,345633926,10244093,33674418
2.432,25826199.39,197,0.709,1,0.135,482717715,10898405,37258479
2.652,25135372.02,197,0.873,1,0.164,391992212,11586797,31187692
2.892,17409286.39,197,1.137,1,0.238,300995559,12110973,25234854
3.108,18253574.24,197,0.936,1,0.108,365371260,12603397,31509396
3.313,17559997.96,197,0.874,1,0.238,391375961,13062157,19323843
3.528,18595652.76,197,0.858,1,0.178,398552990,13553181,31824175
3.741,18225136.75,197,1.181,1,0.101,289722556,14044269,22903339
3.953,18559349.45,197,0.894,1,0.187,382573009,14536373,22687557
4.167,18609636.86,197,0.931,1,0.037,367578201,15028101,33961620
4.374,18783719.81,197,0.994,1,0.183,344373440,15519565,26669555
4.577,19560940.57,197,0.994,1,0.116,344373440,16010437,29065693
4.793,19436745.86,197,0.856,1,0.206,399716479,16534613,27222918
5.005,19772920.42,197,0.967,1,0.286,353943078,17058789,22709484
5.221,11235202.78,137,1.412,2,0.402,168531823,17527997,20773645
5.429,17383257.48,138,0.842,2,0.173,284615786,17813469,32555229
5.648,14351106.94,138,1.127,2,0.351,212625847,18206829,26283828
5.853,13873475.68,138,1.125,2,0.191,213145600,18566213,21939393
6.067,14849851.59,138,0.883,2,0.239,271446214,18960069,24822857
6.282,13443548.74,138,1.676,2,0.627,143072076,19320853,35045104
6.564,8123944.29,138,1.016,2,0.076,235925519,19614565,22984126
6.78,11216837.72,138,0.942,2,0.073,254350357,19910741,32539325
6.99,10009804.53,138,0.872,2,0.132,274868949,20172917,32977225
7.204,10981746.06,138,1.048,2,0.285,228615230,20467437,23018925
7.414,9735163.37,138,1.044,2,0.214,229600287,20729525,19501683
7.636,10904845.35,138,1.143,2,0.329,209720170,21027197,23303584
7.854,10839197.61,138,1.066,2,0.164,224837130,21319813,26792262
8.071,10701109.75,138,1.128,2,0.127,212578723,21614253,21311529
8.283,11304314.88,138,0.912,2,0.24,262674298,21909621,28341637
8.506,11752103.98,138,1.179,2,0.257,203340089,22237253,21729877
8.714,11285227.5,138,0.824,2,0.135,290917561,22530837,41203252
8.915,11796402.85,96,1.047,3,0.203,159226440,22827109,24863450
9.136,11865592.48,96,0.974,3,0.219,171108706,23154781,24542372
9.354,11980745.3,96,1.216,3,0.354,137136656,23482453,18046290
9.574,11910806.35,67,0.958,4,0.071,121412280,23809149,32739979
9.785,12420800.29,67,1.032,4,0.056,112781981,24137901,29279411
10.003,12047208.65,67,0.963,4,0.173,120813802,24465093,25444089
10.214,12414563.49,67,0.927,4,0.152,125519353,24793149,31418867
10.427,12252703.89,67,0.821,4,0.103,141801705,25120965,31039657
10.637,12549012.52,67,0.833,4,0.117,139654161,25448597,30838334
10.848,12388447.99,67,0.918,4,0.106,126766516,25775789,33287356
11.058,12522018.82,67,1.097,4,0.121,106064639,26103989,29469010
11.267,12568973.52,67,1.025,4,0.075,113579707,26431661,30560804
11.469,12849274.44,67,1.085,4,0.158,107286441,26759293,30041493
11.677,12716587.52,67,1.269,4,0.152,91713796,27086981,22163265
11.879,12897721.89,67,0.987,4,0.1,117892860,27413557,31874213
12.111,12489922.2,67,0.844,4,0.03,137896594,27775149,37173594
12.328,13266759.85,67,0.878,4,0.105,132463888,28134661,37310429
12.638,8967197.64,67,1.371,4,0.27,84907794,28579197,33415384
12.855,11352209.6,68,1.054,4,0.166,112010238,28790605,23793427
13.072,9331405.89,68,1.01,4,0.066,116943511,29052693,22713725
13.298,9325940.46,47,1.05,5,0.074,77732016,29314837,23829622
13.526,9460693.87,47,1.069,5,0.229,76386951,29576925,32696774
13.738,9905323.87,47,1.007,5,0.04,81069313,29839013,32302618
13.949,9773047.92,32,1.009,6,0.081,55086761,30101157,28333676
14.162,9985886.16,23,0.854,7,0.09,46797189,30363261,33899665
14.379,8404045.21,24,1.052,7,0.191,39608120,30593261,29144067
14.613,6810693.81,26,1.013,7,0.091,44597828,30789845,30582185
14.822,7500677.24,26,0.873,7,0.2,51698011,30986373,28199830
15.024,7743403.59,26,0.746,7,0.052,60529358,31181853,47194074
15.224,5292344.81,26,0.965,7,0.238,46779808,31314229,24404494
