timestamp,goodput_bps,snd_cwnd,rtt_ms,retransmits,rttvar,pacing_rate,bytes_sent,delivery_rate
0.209,24726312.85,55,0.965,1,0.262,99021370,647333,31406392
0.411,1324914.35,55,0.942,1,0.13,101452229,712493,31389255
0.613,5164640.81,55,0.984,1,0.176,97035664,844261,27391229
0.827,4988062.33,55,1.04,1,0.216,91848149,976029,24633136
1.027,5433949.75,55,1.434,1,0.316,66638542,1139653,37207708
1.232,68954670.81,68,1.479,1,0.491,79882903,2945309,45126298
1.435,90077789.59,138,1.215,1,0.164,197235286,5137477,23462962
1.641,115687706.76,67,1.061,3,0.046,109725918,8119477,31125233
1.842,70577683.13,78,1.85,3,0.721,73241178,9997189,26348564
2.044,301360960.01,157,1.774,3,0.369,153724420,17505413,23440765
2.25,130733671.8,157,2.267,3,0.324,120296858,21041085,36977705
2.45,181274430.06,157,3.161,3,0.319,86292578,25435877,66911507
2.651,557873474.44,157,2.045,3,0.293,133400097,39481365,85807407
2.851,552146603.5,175,1.693,3,0.133,178752296,53425605,96003988
3.054,766873052.22,228,0.994,3,0.284,398313736,72880933,50688448
3.258,249685883.49,228,1.101,3,0.253,359829972,79139189,60333333
3.492,241347348.46,228,1.214,3,0.235,326101697,86421181,28308895
3.692,353842247.72,228,1.119,3,0.078,353844188,95230813,62391382
3.908,286729661.72,238,1.371,3,0.208,301502816,103012365,38166134
4.14,241342339.25,248,1.541,3,0.344,279503680,110049645,24037944
4.372,285082832.07,259,1.766,3,0.344,254762751,118324965,25821673
4.585,220055003.27,265,1.688,3,0.409,272746334,124192261,25121443
4.788,534196897.17,209,1.609,4,0.123,227169223,137547261,51499703
5.403,35671182.76,52,1.308,4,0.2,115131498,140185517,25645776
5.603,64780613.43,220,2.774,4,0.111,137780500,142043301,99488786
5.803,996142151.58,258,2.051,4,0.066,218536737,166869261,132405845
6.318,69748517.85,258,1.486,4,0.134,301556075,171194437,32484024
6.518,836764704.76,284,3.082,4,0.166,160077333,192477141,108779888
6.719,421146993.63,289,2.924,4,0.569,171695495,203092429,26026143
6.919,335224022.21,300,0.873,4,0.127,597027916,211438701,60923679
7.12,333761988.1,217,1.262,5,0.14,298660752,219612685,36504201
7.353,198789957.75,221,1.387,5,0.259,276688894,225561069,28322738
7.671,44509046.98,154,1.752,5,0.171,152734246,227182749,37576342
7.871,679867003.54,255,0.974,5,0.142,454740731,244030309,56069699
8.076,243745444.04,257,1.246,5,0.239,358181832,250518797,49795475
8.277,310381249.08,265,3.779,5,0.76,121848107,258088533,69551532
8.492,320674073.95,274,1.303,5,0.094,365319317,266968077,26018750
8.692,320977502.47,284,2.447,5,0.327,201646092,274733701,86455677
8.897,277876004.9,292,1.476,5,0.123,343636437,282202485,50593990
9.097,302424136.86,298,3.67,5,0.123,141057595,289761045,106665189
9.297,345036123.8,310,1.099,5,0.45,489909959,298392573,86233250
9.499,303364216.69,318,2.025,5,0.422,272833872,306116205,25636721
9.699,342877128.3,322,2.653,5,0.249,210846370,314317677,72792508
9.922,244712135.19,329,1.684,5,0.477,339446537,321530165,26365622
10.225,65981661.25,329,1.327,5,0.155,430636836,323623973,31117478
10.431,467131583.68,344,1.002,5,0.31,596541317,335618101,22198113
10.763,64880494.79,102,1.354,7,0.295,130873324,338435589,22050761
10.965,327970094.42,219,0.852,7,0.038,446178396,346587829,33911007
11.167,195464915.54,219,0.957,7,0.061,397528754,351504133,33437751
11.367,195968079.85,157,0.776,8,0.135,351493895,356421221,34739367
11.568,190400768.14,118,2.21,9,0.516,92740114,361269125,78295765
11.771,164087141.63,121,1.155,9,0.08,181896485,365495853,27029333
11.971,195178674.59,125,1.009,9,0.242,215262636,370246741,79391162
12.171,187520170.47,128,1.22,9,0.326,182305573,375031741,44343934
12.384,182710203.13,90,1.404,10,0.172,111354873,379926717,52860495
12.587,187213789.09,69,1.003,11,0.218,119491117,384634221,24945036
12.787,189961968.07,79,0.719,11,0.07,190785823,389350357,52929503
12.99,191444677.41,90,0.923,11,0.109,169338386,394199709,37018682
13.191,187179343.8,96,0.957,11,0.047,174236427,398918741,56514767
13.393,192391031.3,50,2.761,13,1.057,31456890,403736413,12980913
13.593,191555115.43,91,0.761,13,0.115,207679001,408520605,50452961
13.793,192911862.35,91,0.807,13,0.182,195755617,413336653,54130841
13.994,195722092.77,91,0.814,13,0.214,194073764,418253013,29436592
14.195,200008516.4,97,0.76,14,0.045,221663258,423265989,42137566
14.395,204203283.18,68,0.821,15,0.141,143808671,428377093,60098573
14.598,191397357.84,56,1.688,16,1.122,57628427,433287269,9762952
14.799,204154871.68,77,0.913,16,0.096,146424295,438404501,31622988
15.0,201271148.22,76,1.992,17,0.304,66285656,443418981,45422636
15.201,188272828.47,85,0.898,18,0.069,164449269,448230685,39267796
15.402,197808924.57,69,1.315,19,0.727,91131135,453119869,31742101
15.604,203424770.28,78,1.209,19,0.14,112045303,458359453,86813220
15.804,199981024.6,89,1.469,19,0.417,105237427,463347813,85840873
16.005,208872700.18,50,0.721,21,0.129,120436666,468560637,56216470
16.206,202071986.07,47,0.633,22,0.058,128990641,473627205,68849925
16.406,208799388.86,45,0.712,24,0.084,109800947,478808557,65637362
16.609,204968392.76,56,0.729,25,0.132,133363851,484066021,35793258
16.809,177786813.25,111,3.67,25,0.598,52554114,488564957,34548065
17.009,216553396.07,111,0.798,25,0.136,241544896,493880565,56752519
17.209,194482250.09,111,0.58,25,0.078,332182734,498731365,57920000
17.412,218945679.86,111,1.012,25,0.294,190421917,504268517,52211538
17.616,220645594.5,111,1.258,25,0.299,153226295,509904133,91467444
17.821,189162248.54,78,0.9,26,0.101,150445733,514754677,31540594
18.022,214288862.58,71,0.728,27,0.095,169463736,520206757,34272189
18.224,219744520.5,82,0.823,27,0.073,173074035,525732325,63245977
18.425,223173777.29,98,0.991,27,0.156,171744629,531334637,80079782
18.625,223456753.91,86,1.257,28,0.109,118810256,536906493,79897203
18.827,213984332.64,88,0.936,28,0.105,163211527,542387325,48172211
19.027,223147210.63,103,0.814,28,0.074,219699616,547936061,69583524
19.227,224311595.71,116,0.85,28,0.089,236957060,553486245,34513542
19.43,224066596.13,116,0.656,28,0.104,307082993,559188469,38872483
19.631,231577378.21,125,0.808,28,0.223,268604111,564955853,47831831
19.831,215987686.08,92,1.179,29,0.116,136064857,570471293,62620853
20.043,202021574.97,110,1.498,29,0.202,127540912,575867989,44567290
20.243,178951110.4,81,0.892,30,0.222,157653990,580225781,26154351
20.544,65308886.84,40,1.142,30,0.31,60828355,582706909,25903398
20.747,281921028.35,98,0.838,31,0.146,203052377,589788933,32109820
21.062,72384439.42,99,0.988,31,0.099,174023672,592703957,35350234
21.262,195325111.06,107,0.768,31,0.155,242048104,597531589,36323831
21.475,108284570.91,121,0.662,31,0.073,317477689,600415725,43519125
21.686,109095509.22,123,0.805,31,0.187,265208375,603299317,28421487
