timestamp,goodput_bps,snd_cwnd,rtt_ms,retransmits,rttvar,pacing_rate,bytes_sent,delivery_rate
0.242,23155139.5,49,1.046,0,0.267,81359197,739965,44187793
0.478,6749874.23,50,0.908,0,0.07,95630159,903589,27627384
0.714,9046432.85,53,0.959,0,0.135,95954988,1165677,27766059
0.949,49885580.79,86,1.289,0,0.388,115929868,2628245,20264631
1.19,73788055.64,62,1.047,1,0.252,102846014,4861413,26018750
1.39,113487111.47,70,0.769,1,0.092,157989283,7797565,147332273
1.591,169612758.63,88,1.246,1,0.077,122658217,11986629,54776315
1.791,257484233.98,119,1.197,2,0.119,172671732,18549005,113756240
1.992,376605677.35,119,1.28,2,0.069,161526725,27989965,90298440
2.192,331593146.97,140,1.456,2,0.192,166976576,36272525,63596370
2.393,639072759.53,200,1.101,2,0.229,315425459,52432205,32050592
2.594,273259376.56,200,1.123,2,0.272,309353510,59055797,25693282
2.794,401198219.82,200,4.057,2,0.289,85651437,69308645,48627851
2.994,400656528.66,212,3.189,2,0.148,115485915,79408445,84752179
3.194,341829088.79,227,2.531,2,0.284,155826251,87944405,116873406
3.416,284335546.54,238,1.37,2,0.296,301777834,95856277,30922934
3.623,322211528.59,249,1.784,2,0.421,242421851,104196757,17058905
3.842,328764220.91,261,1.496,2,0.309,302973594,113226485,44160513
4.042,345718215.65,271,1.611,2,0.024,292228438,121632125,114466403
4.244,316468226.39,280,1.361,2,0.428,357445495,129908893,40568965
4.444,256550368.17,287,2.587,2,0.498,192768148,136349597,107411616
4.692,245276747.12,295,2.912,2,1.27,176019916,143926981,45710794
4.895,428470504.38,309,1.133,2,0.017,473681870,154798565,59908450
5.096,287228360.23,217,1.358,3,0.222,277504471,161793861,32283278
5.297,260218901.28,225,3.133,3,0.117,124762854,168417013,98375930
5.526,305600017.18,235,1.387,3,0.322,294243199,176899397,27894921
5.726,346088076.08,249,1.791,3,0.094,241491606,185681517,39223476
5.926,345902884.59,259,2.802,3,0.129,160613276,194546173,113394779
6.139,314331304.55,268,1.638,3,0.352,284187535,202951813,29835164
6.339,383861838.93,282,1.05,3,0.25,466447596,212256661,65663799
6.582,233319793.65,289,1.455,3,0.111,345072255,219632773,55771754
6.782,364001874.74,299,4.607,3,0.509,112750975,228608389,46876569
7.003,345494759.58,309,1.425,3,0.168,376784842,238333693,42670083
7.203,255997731.23,316,4.446,3,0.377,123475834,244719373,45354147
7.403,413684388.2,324,1.72,3,0.351,327196454,254680165,62557407
7.604,302336389.21,331,7.408,3,0.336,77629275,262315965,60325453
7.805,311136374.61,337,1.7,3,0.781,344428321,270318565,23599534
8.005,285471526.92,345,4.671,3,0.845,128321943,277690333,76662079
8.206,353591003.44,350,2.334,3,0.352,260467905,286178509,68531297
8.406,274169028.85,358,4.242,3,0.238,146621678,293459053,121370822
8.606,375436749.19,363,4.206,3,0.067,149932859,302842093,54438578
8.817,293634319.07,371,1.912,3,0.584,337005606,310596133,30788659
9.019,417718602.73,378,2.005,3,0.501,327444531,321055085,30236658
9.219,285716567.07,385,4.131,3,0.555,161906156,327772525,58136844
9.419,339454791.56,387,1.266,3,0.126,531004797,336390597,126119967
9.619,259951485.59,390,2.083,3,0.156,325330772,343241293,56863955
9.822,389783974.53,396,0.918,3,0.127,749348870,352741621,72400000
10.023,285244032.48,400,1.712,3,0.394,405951668,360313213,61060240
10.223,369324689.48,403,2.447,3,0.395,286094806,369027277,83518001
10.423,292649132.45,411,6.662,3,0.408,107198078,376564173,99263289
10.623,262961461.77,415,4.192,3,0.351,172019083,383510173,108016129
10.823,385761755.14,296,1.806,4,0.638,284690846,392881677,20068230
11.034,266291688.62,302,1.6,4,0.226,327792738,399995701,46114649
11.235,292963748.79,308,8.655,4,0.8,61833083,407333301,24757562
11.435,351880967.64,312,0.814,4,0.136,665293695,415754637,40063241
11.635,274534766.75,321,3.511,4,0.112,158835183,423062341,119326709
11.836,381278054.1,331,1.274,4,0.148,451315821,432302029,69808619
12.036,309970029.47,336,2.126,4,0.1,274551422,440132813,66476363
12.236,303282644.99,342,3.909,4,0.234,152018469,447506029,118262238
12.532,244036201.01,348,1.414,4,0.227,427527918,457010701,14775510
12.743,376557391.97,257,1.192,5,0.046,374515735,466794877,36346558
12.944,332763574.31,261,1.825,5,0.288,248398521,475190381,40385822
13.178,280816587.07,271,1.549,5,0.383,303873259,483400541,65003095
13.39,339812978.1,281,1.51,5,0.284,323247666,492457781,53046365
13.59,294522744.94,288,2.542,5,0.493,196825486,499610901,51030837
13.791,343666371.82,295,1.558,5,0.015,328927247,508421981,159344849
13.991,261740417.6,300,4.497,5,0.221,115894728,514651789,116262773
14.193,399781760.19,313,1.383,5,0.477,393004281,524808997,40598130
14.395,343345168.85,318,1.514,5,0.272,364874486,533492653,19479820
14.595,276564288.96,323,3.761,5,0.272,149197793,540374661,96803253
14.796,277306529.52,330,0.898,5,0.098,637917396,547254789,26970896
14.998,209345354.37,336,1.691,5,0.368,345080812,552991421,45219933
15.198,342991360.86,345,4.254,5,0.227,140915464,561592541,85668475
15.398,427562789.59,354,2.821,5,0.212,218046933,572084749,82840893
