timestamp,goodput_bps,snd_cwnd,rtt_ms,retransmits,rttvar,pacing_rate,bytes_sent,delivery_rate
0.206,38862410.24,36,0.791,1,0.072,79031711,998677,40077015
0.406,276697641.15,119,0.713,1,0.034,290006171,8049565,84329545
0.606,321689263.18,119,1.407,1,0.093,146908987,16138093,96597093
0.806,305071325.33,120,1.272,1,0.091,163860117,23761813,117260029
1.006,302448143.25,143,0.912,1,0.05,272191482,31385533,24897737
1.207,327461234.07,158,1.072,1,0.074,256011936,39595693,63231441
1.422,316912512.08,142,1.279,2,0.07,192821490,48073789,40373775
1.642,315817935.56,143,0.958,2,0.138,259302687,56755997,25464428
1.842,276919745.77,118,1.874,3,0.554,109404015,63639885,68168831
2.042,365940533.7,141,1.994,3,0.632,122815514,72734909,66771341
2.247,267914740.06,160,1.321,3,0.163,210438830,79734405,42498951
2.454,303488480.73,123,1.169,4,0.094,182729336,87559445,25794331
2.654,367637857.54,109,0.937,5,0.156,202024960,96741221,38196642
2.855,316580235.11,130,1.069,5,0.115,211208976,104690741,139896414
3.055,323020082.0,152,1.638,5,0.1,161193286,112770581,106283029
3.271,312044098.73,125,1.283,6,0.206,169290724,121176277,30356394
3.471,363417394.24,122,1.22,7,0.141,173742198,130210213,103259016
3.671,302732771.84,138,1.429,7,0.085,167787142,137857341,95630625
3.871,354124318.74,157,1.32,7,0.123,206629956,146719101,130113002
4.071,328927096.94,170,1.384,7,0.423,206820934,154786205,92820512
4.28,298723977.18,185,1.031,7,0.058,311714909,162584981,27926711
4.481,290672844.82,197,8.222,7,0.24,41629917,170136157,30684325
4.684,307629603.27,210,1.195,7,0.106,305192681,177930741,44146341
4.89,361434141.15,224,1.415,7,0.34,274898843,187248621,52180180
5.092,309823467.26,235,0.946,7,0.106,431473781,194795597,68874292
5.3,257023046.99,245,1.284,7,0.108,331325615,201808261,21049732
5.503,377910712.41,255,1.224,7,0.424,361852184,211278181,65151856
5.703,285174513.9,194,1.753,8,0.154,192227186,218460269,116566649
5.909,316527049.08,202,1.106,8,0.148,317247949,226632781,25492957
6.109,353530011.4,217,2.548,8,0.078,147938871,235467029,114081475
6.318,325721060.55,229,1.695,8,0.247,234738087,244010229,28089233
6.519,354122538.31,244,0.869,8,0.114,487466973,252728637,62260442
6.72,288869207.34,250,2.167,8,0.072,200392111,260162669,101614035
6.931,308574728.82,260,1.34,8,0.072,336926260,268372829,26156069
7.142,310071391.89,269,3.31,8,0.905,141207477,276588781,37484180
7.343,362938341.5,280,3.662,8,1.875,132844943,285575069,60791983
7.543,292432688.82,291,1.449,8,0.254,348748409,293003309,60847746
7.747,337004898.56,215,1.639,9,0.024,227847221,301474125,34266990
7.951,322342991.94,228,1.142,9,0.296,346873415,309749445,38306878
8.17,307436253.34,240,1.61,9,0.128,258940701,318160877,23092734
8.37,356667404.87,249,1.392,9,0.139,314235061,327100829,32843228
8.571,333979951.92,259,1.489,9,0.273,302140584,335422485,111005110
8.79,278882702.75,191,1.182,10,0.312,280720321,343046293,30996941
8.99,341086905.82,150,1.221,11,0.199,213355162,351517133,94071222
9.19,302399896.24,163,1.061,11,0.107,266725179,359075693,60702183
9.397,344939209.31,188,0.985,11,0.214,331643451,368050397,31109375
9.597,333649665.0,138,1.472,12,0.048,162858510,376277949,123167977
9.797,338429742.75,160,1.515,12,0.438,189723449,384813909,37982869
9.997,344324759.86,173,1.047,12,0.166,287110601,393206285,112705707
10.198,321281123.64,188,2.035,12,0.096,160475922,401494869,70556428
10.399,293944101.14,205,4.579,12,1.086,77787410,408939037,48579796
10.615,339236068.56,152,1.926,13,1.056,137131464,417980381,55015197
10.828,326064540.74,168,3.138,13,0.658,93011566,426739333,42277372
11.028,338491290.77,185,4.325,13,0.681,74314347,435191309,36661074
11.237,340196903.81,204,1.907,13,0.302,185866369,444109541,64472512
11.437,327088021.13,151,1.366,14,0.13,191971904,452189405,78758805
11.641,316865618.31,135,1.419,15,0.06,165252553,460269269,32572597
11.841,357042273.69,147,1.158,15,0.022,220433398,469196189,54547945
