timestamp,goodput_bps,snd_cwnd,rtt_ms,retransmits,rttvar,pacing_rate,bytes_sent,delivery_rate
0.258,21189002.89,51,1.013,0,0.181,87415635,686877,31990697
0.518,9152372.24,51,0.978,0,0.187,90530047,981789,25719360
0.761,57597845.05,104,1.162,0,0.242,155466523,2725173,25857142
1.01,73131327.58,148,1.219,0,0.161,210877244,5196909,37457501
1.213,190745242.46,222,0.983,0,0.086,392218810,10005717,35353001
1.413,250409049.43,311,0.953,0,0.21,567044700,16298333,132242517
1.615,231111870.66,333,1.39,0,0.364,416236525,22032805,48136567
1.817,245483427.04,333,1.393,0,0.224,415228417,28322917,37553012
2.017,245331009.82,333,0.966,0,0.157,598831358,34385693,34320541
2.219,237278276.07,349,1.325,0,0.14,457677283,40578789,12112547
2.419,256691528.52,373,2.21,0,0.533,293186225,46936413,106740134
2.622,251016476.04,274,0.748,1,0.101,636075350,53096829,24133333
2.823,232738651.78,194,0.778,2,0.121,432796533,58896125,41654794
3.024,255503401.96,196,3.851,2,1.623,88416576,65561269,47399925
3.224,247712306.36,202,1.282,2,0.174,273787207,71577709,64896358
3.427,232476903.63,208,0.871,2,0.024,414592256,77410253,72072398
3.632,224900085.45,211,2.221,2,0.502,165038757,83454205,13469767
3.832,268795393.27,214,2.147,2,0.195,173183396,89960981,142649504
4.033,230768185.17,217,0.767,2,0.093,491602607,95694749,38943765
4.233,247082184.9,220,1.58,2,0.193,241886893,101985709,107070422
4.435,258626645.33,222,1.087,2,0.085,354832424,108572661,19272404
4.637,238989491.31,155,0.678,3,0.017,397165714,114568853,79629522
4.843,240206382.43,117,1.331,4,0.217,152670008,120785189,16949832
5.047,259362744.32,130,1.017,4,0.119,222002948,127375037,41153684
5.25,245460306.29,107,0.781,5,0.133,237791462,133542085,63222535
5.45,248580084.36,113,0.823,5,0.234,238323532,139801205,115455149
5.652,261085647.26,91,0.801,7,0.021,197312868,146320877,57703611
5.858,231971317.96,91,0.823,7,0.083,191924260,152251885,56009101
6.058,235391657.43,102,1.368,7,0.174,129486904,158258189,95767195
6.26,266176442.95,99,0.719,8,0.088,239252294,164979821,33831775
6.463,239224848.25,102,0.905,8,0.13,195650834,170996565,34171091
6.664,258307553.36,101,1.082,9,0.157,162066351,177419093,62929432
6.864,222025134.54,101,1.118,9,0.082,156957048,182988613,40806148
7.067,234454136.5,86,0.746,10,0.099,200078460,189013749,27320754
7.267,269953265.53,66,0.871,12,0.132,131534451,195757197,63429286
